Category,Reference(s),Qty,Part / Value,Footprint / Package,Description,Unit Price,Total,Notes
Electronics,"D1-D32 (left), D66-D101 (right)",68,1N914,SOD-123,Small signal switching diode (per-key),₹8.00,₹544.00,1N914BWS-Onsemi - SOD-323F Diodes - General Purpose
Electronics,"D33-D65 (left), D102-D138 (right)",70,SK6812MINI-E,LED_SK6812MINI-E_3.2x2.8mm ReverseMount,Per-key + underglow RGB LED (reverse mount = bottom side),$0.0649,$41.98,SK6812MINI-E | OPSCO Optoelectronics | LCSC. Priced in USD - see currency note below
Electronics,"R1, R3",2,806k,0805,Battery voltage-divider resistor (top),₹0.09,₹0.18,Robu.in
Electronics,"R2, R4",2,1M,0805,Battery voltage-divider resistor (bottom),₹0.65,₹1.30,Robu.in
Electronics,RV1,1,Bourns PTA2043-2015DPB103,Potentiometer_Bourns_PTA2043_Single_Slide,"Slide potentiometer, 20mm travel, brightness/volume control (left half only)",₹211.78,₹286.78,Tanotis.com
Electronics,SW33,1,Alps EC11E,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,"Rotary encoder w/ push switch, 20mm vertical shaft (right half only)",₹303.73,₹358.40,EC11E15244C0 - element14 India
Electronics,"SW1-28, SW34-65",60,SW_Push (1u),PCM_marbastlib-mx CPG151101S11 1u,Kailh hotswap socket - 1u keys,₹25.47,"₹2,544.00",Total covers all 68 hotswap sockets (1u+1.75u+1.5u+1.25u combined) - Ubuy.co.in
Electronics,"SW29-30, SW66, SW69",4,SW_Push (1.75u),PCM_marbastlib-mx CPG151101S11 1.75u,Kailh hotswap socket - 1.75u keys,same,(included above),"same part, counted once in row above"
Electronics,"SW31, SW68",2,SW_Push (1.5u),PCM_marbastlib-mx CPG151101S11 1.5u,Kailh hotswap socket - 1.5u keys,same,(included above),"same part, counted once in row above"
Electronics,"SW32, SW67",2,SW_Push (1.25u),PCM_marbastlib-mx CPG151101S11 1.25u,Kailh hotswap socket - 1.25u keys,same,(included above),"same part, counted once in row above"
Electronics,"SW1-28, SW34-65",60,SW_Push (1u),PCM_marbastlib-mx CPG151101S11 1u,MX-style switch - 1u keys,₹56.93,"₹5,123.25",Total covers all 68 switches - amzn.in
Electronics,"SW29-30, SW66, SW69",4,SW_Push (1.75u),PCM_marbastlib-mx CPG151101S11 1.75u,MX-style switch - 1.75u keys,same,(included above),"same part, counted once in row above"
Electronics,"SW31, SW68",2,SW_Push (1.5u),PCM_marbastlib-mx CPG151101S11 1.5u,MX-style switch - 1.5u keys,same,(included above),"same part, counted once in row above"
Electronics,"SW32, SW67",2,SW_Push (1.25u),PCM_marbastlib-mx CPG151101S11 1.25u,MX-style switch - 1.25u keys,same,(included above),"same part, counted once in row above"
Electronics,"SW1-28, SW34-65",60,SW_Push (1u),PCM_marbastlib-mx CPG151101S11 1u,MX-style keycap - 1u keys,₹14.44,"₹2,383.00",Total covers all 68 keycaps - amzn.in
Electronics,"SW29-30, SW66, SW69",4,SW_Push (1.75u),PCM_marbastlib-mx CPG151101S11 1.75u,MX-style keycap - 1.75u keys,same,(included above),"same part, counted once in row above"
Electronics,"SW31, SW68",2,SW_Push (1.5u),PCM_marbastlib-mx CPG151101S11 1.5u,MX-style keycap - 1.5u keys,same,(included above),"same part, counted once in row above"
Electronics,"SW32, SW67",2,SW_Push (1.25u),PCM_marbastlib-mx CPG151101S11 1.25u,MX-style keycap - 1.25u keys,same,(included above),"same part, counted once in row above"
Electronics,"U1, U3",2,MCP23017,SSOP-28,16-bit I2C GPIO expander,₹307.00,₹614.00,Robu.in
Electronics,"U2, U4",2,Seeed Studio XIAO BLE nRF52840,modified-XIAO-nRF52840-SMD (custom),"MCU, back layer of PCB, standard USB-C connector (~3.16mm tall)","₹1,209.00","₹2,418.00",Robu.in
Power,Battery,2,LiPo 502535 500mAh,N/A,"One battery per half, direct-soldered to BAT/GND test points, sits in local case-floor recess",₹225.00,₹531.00,"KP-502535, 3.7V 500mAh"
Fabrication,PCB,5,2-layer PCB panel (L+R mousebite-panelized),N/A,Fabricated as single panel with mousebite tabs; snaps into left + right boards after fab,"₹1,000.60","₹5,003.00",Robu.in PCB manufacturing service
Mechanical,Heatset insert,8,M2 x 4mm x 3.5mm OD,Brass knurled heatset insert,Installed in top frame blind holes (6.2mm deep),₹19.88,"₹1,988.00","amzn.in - only trusted seller found, others looked sketchy"
Mechanical,Case screw,8,M2 x 18mm countersunk,Steel or A2 stainless,Bottom case -> plate -> top frame insert,₹19.90,₹199.00,Indian Robo Store
Mechanical,Bottom case,2,Custom 3D print,N/A,3mm bottom wall + 6mm wall height + local battery-pocket boss,N/A,$20.71,"From Printing Legion - covers case+plate+top frame combined, priced in USD - see currency note below"
Mechanical,Plate,2,Custom 3D print,1.5mm,Switch mounting plate with screw clearance + pot/encoder cutouts,N/A,(included above),"same order, counted once in row above"
Mechanical,Top frame,2,Custom 3D print,8mm,"Holds heatset inserts, blind holes only (no visible top holes)",N/A,(included above),"same order, counted once in row above"
,,,,,,,,
,,,,,INR subtotal (13 line items),,"₹21,993.91",
,,,,,USD subtotal (2 line items: LEDs + printed parts),,$62.69,
,,,,,USD converted to INR (@ approx ₹88/$1 - VERIFY current rate),,"₹5,516.72",
,,,,,"GRAND TOTAL (INR, approx)",,"₹27,510.63",2 line items are USD-converted at an assumed rate - confirm before finalizing
