"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet","Description"
"D66,D67,D68,D69,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99,D100,D101","36","1N914","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SOD-123","http://www.vishay.com/docs/85622/1n914.pdf","100V 0.3A Small Signal Fast Switching Diode, DO-35"
"D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138","37","SK6812MINI-E","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount","https://www.lcsc.com/datasheet/C5149201.pdf","RGB LED with integrated controller"
"R3","1","806k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric","","Resistor"
"R4","1","1M","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric","","Resistor"
"SW33","1","RotaryEncoder_Switch","","","","","${EXCLUDE_FROM_POS_FILES}","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","","Rotary encoder, dual channel, incremental quadrate outputs, with switch"
"SW34,SW35,SW36,SW37,SW38,SW39,SW40,SW41,SW42,SW43,SW44,SW45,SW46,SW47,SW48,SW49,SW50,SW51,SW52,SW53,SW54,SW55,SW56,SW57,SW58,SW59,SW60,SW61,SW62,SW63,SW64,SW65","32","SW_Push","","","","","${EXCLUDE_FROM_POS_FILES}","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1u","","Push button switch, generic, two pins"
"SW66,SW69","2","SW_Push","","","","","${EXCLUDE_FROM_POS_FILES}","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1.75u","","Push button switch, generic, two pins"
"SW67","1","SW_Push","","","","","${EXCLUDE_FROM_POS_FILES}","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1.25u","","Push button switch, generic, two pins"
"SW68","1","SW_Push","","","","","${EXCLUDE_FROM_POS_FILES}","PCM_marbastlib-mx:SW_MX_HS_CPG151101S11_1.5u","","Push button switch, generic, two pins"
"TP3","1","BAT","","","","","${EXCLUDE_FROM_POS_FILES}","TestPoint:TestPoint_Pad_D2.0mm","","test point"
"TP4","1","GND","","","","","${EXCLUDE_FROM_POS_FILES}","TestPoint:TestPoint_Pad_D2.0mm","","test point"
"U3","1","MCP23017x-x-SS","","","","","${EXCLUDE_FROM_POS_FILES}","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf","16-bit I/O expander, I2C, interrupts, w pull-ups, SSOP-28"
"U4","1","XIAO-nRF52840-SMD","","","","","${EXCLUDE_FROM_POS_FILES}","modified-XIAO-nRF52840-SMD:modified-XIAO-nRF52840-SMD","",""
